File Version,Hardware Type,Model,Data Logger Name,Serial Number,Sample Rate,Total Alarms
1,3,EL-SIE-2+,UM_WG,24de6b085df773dd,600,2,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold
1,Temperature,High Alarm,70.00,,0,0
1,Temperature,Low Alarm,,64.00,0,0

Reading,Date / Time (UTC),Channel 1 (°F),Channel 2 (%RH),Channel 3 (°F),
1,2022/06/10 16:05:36,81.88,32.5,49.55,
2,2022/06/10 16:15:36,78.73,27.4,42.32,
3,2022/06/10 16:25:36,76.99,28.4,41.76,
4,2022/06/10 16:35:36,76.15,29.1,41.67,
5,2022/06/10 16:45:36,75.62,29.6,41.65,
6,2022/06/10 16:55:36,75.45,29.9,41.77,
7,2022/06/10 17:05:36,75.24,30.2,41.84,
8,2022/06/10 17:15:36,75.21,30.6,42.17,
9,2022/06/10 17:25:36,75.16,30.9,42.38,
10,2022/06/10 17:35:36,75.04,31.2,42.52,
11,2022/06/10 17:45:36,75.09,31.4,42.73,
12,2022/06/10 17:55:36,75.04,31.7,42.93,
13,2022/06/10 18:05:36,74.94,32.0,43.10,
14,2022/06/10 18:15:36,74.91,32.5,43.48,
15,2022/06/10 18:25:36,74.81,32.7,43.54,
16,2022/06/10 18:35:36,74.71,32.9,43.62,
17,2022/06/10 18:45:36,74.68,33.1,43.75,
18,2022/06/10 18:55:36,74.61,33.3,43.84,
19,2022/06/10 19:05:36,74.45,33.4,43.78,
20,2022/06/10 19:15:36,74.38,33.7,43.95,
21,2022/06/10 19:25:36,74.35,33.8,44.01,
22,2022/06/10 19:35:36,74.30,34.0,44.12,
23,2022/06/10 19:45:36,74.30,34.3,44.35,
24,2022/06/10 19:55:36,74.30,34.5,44.50,
25,2022/06/10 20:05:36,74.20,34.8,44.64,
26,2022/06/10 20:15:36,74.20,35.2,44.94,
27,2022/06/10 20:25:36,74.17,35.5,45.14,
28,2022/06/10 20:35:36,74.15,36.0,45.50,
29,2022/06/10 20:45:36,74.15,36.3,45.72,
30,2022/06/10 20:55:36,74.07,37.0,46.14,
31,2022/06/10 21:05:36,73.97,38.0,46.77,
32,2022/06/10 21:15:36,73.89,40.3,48.25,
33,2022/06/10 21:25:36,73.38,41.8,48.77,
34,2022/06/10 21:35:36,72.92,42.0,48.48,
35,2022/06/10 21:45:36,72.44,42.2,48.19,
36,2022/06/10 21:55:36,71.99,42.3,47.84,
37,2022/06/10 22:05:36,71.73,42.4,47.66,
